GEOID10,avgReleasesLb_10yr
08051963900,0
08051963700,0
08051963600,0
08051963800,0
08021974900,0
08021974800,0
08071000800,0
08071000100,0
08071000200,0
08071000300,0
08071000500,0
08071000400,0
08037000703,0
08037000301,0
08037000702,0
08037000402,0
08037000501,0
08037000502,0
08037000302,0
08037000403,0
08037000701,0
08037000401,0
08037000503,0
08037000100,0
08037000600,1.09091E-05
08037000200,55.48523091
08043979400,206795.8966
08043980200,0
08043979100,0
08043978100,0
08043978200,1473.447636
08043979000,0
08043980300,0
08043979200,68594.18182
08043978800,0
08043980100,0
08043978600,0
08043978300,0
08043978500,0
08043978400,0
08045951901,2.36364E-05
08045951701,0
08001009606,0
08001009320,0
08001009409,0
08001009322,0
08001009607,0
08001009304,0
08001060200,0
08001009325,0
08069001601,0
08069001301,0
08069001114,0
08069001113,0
08069001107,0
08069001104,0
08069001112,0.081818182
08069001010,0
08069001007,0
08069000300,0
08069002700,0
08069002600,0
08045951902,0
08045951702,0
08045952001,0
08045952002,172.5454545
08045951803,49.23364818
08045951804,0
08045951600,0
08045951802,0
08045952100,0
08001015000,264190.9593
08001008538,0
08001008709,0.765181818
08001009751,5767.667273
08001009326,0
08001009206,0
08001008546,0
08001008526,0
08001008901,157137.835
08001009608,0
08001009604,0
08001009202,0
08001008801,0
08001009401,0
08001009406,0
08001008542,0
08001008536,0
08001008539,0
08001009752,0
08001009327,0
08001009207,0
08001007801,0
08001008548,0
08001060100,0
08001009410,0
08001008802,195.0890736
08001008309,553.3133845
08001008308,0
08001008100,0
08001008000,0
08067970704,0
08067970703,0
08067970701,0
08067940300,0.896359091
08001008529,0
08001008534,0
08001009103,0
08001008603,0
08001009408,0
08001008524,0
08001008508,0
08001008353,67036.49479
08001007900,0
08001008401,0
08001008523,62615.7855
08001008402,1545776.402
08027970100,0
08097000500,1.09091E-05
08097000401,0
08097000402,0
08097000100,0
08025969600,0
08117000402,0
08117000401,0
08117000100,0.955381818
08117000200,0
08117000300,0
08089968100,0
08089968200,0
08089968400,2033.854545
08089968300,0
08089968600,0
08089968000,0
08089968500,0
08067971100,0
08067971000,0
08067970900,0
08067970800,0
08067940400,2.522037091
08067970600,0
08011966700,0
08017960600,0
08039961209,0
08039961208,1749.418182
08039961207,0
08039961206,0
08039961205,0
08039961204,0
08039961100,0
08069002803,0
08069002802,0
08069002503,680134.4704
08069001608,0
08069001607,0
08125963200,16697.10727
08125963100,0
08001008547,0
08001008543,0
08001008544,0
08001008545,0
08001060000,0
08001061200,0
08001008549,0
08001008551,0
08069001606,0
08069000505,0
08069000202,0
08069001307,0
08069002801,0
08069002401,0
08069001808,0
08069001605,31340.33493
08069002502,0.009090909
08069002501,0
08069002402,0
08069002011,0
08001008550,0
08001008541,0
08001008540,0
08001008535,27306.24668
08001008537,0
08001007802,0
08001008606,0
08001988700,0
08001009104,0
08069002010,0
08069001809,71.84818182
08069001709,22.46441236
08069001708,0
08069001308,20235.27273
08069000802,0
08069000801,0
08069000506,0
08069000504,0
08069000503,0
08069000402,0
08069000401,0
08069000201,0
08069001902,0
08001008604,0
08001008605,0
08001009553,17302.01164
08001008706,0
08001009101,0
08001009002,0
08069002007,0
08069002005,0
08069002008,0
08069001903,0
08069001804,0
08069001901,0
08069001807,2488.363636
08065961900,1513572.018
08065961700,0
08001009308,0
08001009001,0
08001009306,0
08001009318,0
08001008705,0
08001008533,328.8109091
08001009204,0
08001008507,0
08069001707,0
08069001806,0
08069001704,0
08069001706,0
08069001109,0
08069001106,0
08069001111,0
08029965100,0
08029965200,0
08029964600,3338.9298
08029965000,0
08023972700,3318.909091
08023972600,0
08001009203,0
08001008505,0
08001008506,0
08001009501,0
08001009502,15.522902
08001009309,0
08001009310,0
08001009319,0
08001008200,0.18
08069001110,0
08069001008,0
08069001004,0
08069001003,63.95272727
08069000902,0
08069001603,0
08069000901,0
08069001304,0
08069000700,0
08029964900,0
08029964800,0
08029964700,0
08001009316,0
08001009603,0
08001009321,0
08001009407,0
08001009323,0
08001009411,0
08001009307,0
08069000600,0
08069001009,0
08069000100,0
08069002300,0
08069001602,0
08069001306,0.097272727
08069001305,0
08003960300,2898.545455
08003960200,0
08059010209,0
08059010305,0
08059009832,0
08059010406,36829.74365
08059009833,0
08059009834,0
08059011100,0
08059011723,0
08113968102,0
08113968101,0
08113968103,0
08113968200,0
08059009831,0
08059010210,0
08059010206,0
08059009835,0
08059009828,0
08059010205,0
08059010303,0
08059012057,0
08087000600,1193462.61
