GEOID10,avgReleasesLb_10yr
08007940400,4.929975
08021974800,899.9605263
08067940300,264.7905885
08071000300,0
08067940400,2332.008059
08023972700,12169.33333
08071000400,0
08071000500,0
08071000200,0
08083941100,0.7
08007974300,4.929975
08071000100,0
08021974900,888.2727273
08071000800,0
08007974400,0
08067971100,4.70029475
08007974200,4.929975
08067970600,4.70029475
08067970701,4.255817556
08067971000,4.70029475
08067970800,4.70029475
08067970703,4.70029475
08067970900,4.70029475
08009964700,0
08083969400,0.7
08083969400,0.7
08083969100,4.063201143
08083969300,0.7
08009964700,0
08023972600,924.2837838
08067970704,4.70029475
08003960300,888.2727273
08083969000,0.7
08003960300,888.2727273
08083969200,0.7
08003960100,888.2727273
08105976700,430.9324324
08003960000,430.9324324
08055960900,0
08055960600,0
08105977000,430.9324324
08105976800,430.9324324
08033000100,0.7
08109977700,430.9324324
08079973600,0
08111972600,0
08113968102,0
08113968101,0
08101002804,32257.69978
08113968103,0
08089968600,210.9481481
08089968300,210.9481481
08053973100,0
08089968200,212.9196262
08089968500,210.9481481
08099000600,4811.724861
08089968100,212.9196262
08109977600,0
08099000700,4811.724861
08089968400,212.9196262
08011966700,2051.258833
08099000300,4811.724861
08099000200,4811.724861
08113968200,10402.2343
08089968000,46384.19468
08027970100,32677.36065
08091967600,0
08101002806,31987.79446
08099000100,4811.724861
08025969600,520.3186441
08101003200,31910.58726
08101002808,35341.67345
08101002801,35310.17463
08101003106,35581.13928
08101002300,35310.17463
08101002700,35310.17463
08101002200,35310.17463
08101002600,35310.17463
08101002400,35310.17463
08101002807,35310.17463
08101003104,35549.19929
08101003105,35581.13928
08101002100,35310.17463
08101002500,35310.17463
08085966100,10402.2343
08101003103,35310.17463
08101001700,35310.17463
08101002000,35310.17463
08101001900,35310.17463
08101002802,35310.17463
08101001800,35310.17463
08101001500,35310.17463
08101001400,35310.17463
08101001600,35310.17463
08101001200,35310.17463
08101003001,35549.19929
08101003500,35310.17463
08101001100,35310.17463
08101000800,35310.17463
08101000600,35310.17463
08101001000,35310.17463
08101000300,35310.17463
08101002901,35310.17463
08101000200,35310.17463
08101000500,35310.17463
08101000902,35310.17463
08101000400,35310.17463
08101003600,35549.19929
08101000904,35310.17463
08101002917,35045.618
08101000100,35310.17463
08101000905,35310.17463
08101002916,37113.62771
08101002911,37113.62771
08101002915,37113.62771
08101000903,35310.17463
08101002914,37113.62771
08101003004,35310.17463
08101002903,37412.1908
08101002912,37113.62771
08101002913,35771.3571
08101002906,35221.03349
08043980200,106644.9264
08043979400,111506.3382
08101002918,32486.9579
08043978200,111325.9072
08043979200,304647.5043
08043979000,20282.73484
08043979100,137178.9564
08085966501,0
08043980300,127002.1754
08043978800,304647.5043
08043978100,66507.38838
08043980100,304647.5043
08043978400,136896.6952
08043978600,304647.5043
08085966602,0
08043978300,200789.2356
08043978500,201397.6878
08101980100,61730.62944
08085966502,0
08085966400,0
08085966601,0
08061960100,4811.724861
08085966300,0
08085966503,0
08015000200,0
08015000100,0
08051963700,0
08051963600,0
08015000300,0
08085966202,0
08085966201,0
08041004511,57615.28927
08041004403,71163.10151
08041004508,62747.75365
08041004510,63151.22052
08119010202,90594.87248
08041004503,78050.44142
08029965100,0
08041003306,76637.18182
08041004507,78050.44142
08041004506,78050.44142
08029964900,2040.4571
08041004402,78227.89187
08041004401,78227.89187
08029965100,21799.90944
08041004300,78860.92947
08041004200,78860.92947
08051963900,2040.4571
08041004100,78860.92947
08041003305,78227.89187
08119010201,90594.87248
08041004502,78860.92947
08041003308,78860.92947
08041004501,78860.92947
08041004603,22523.48354
08041003307,84516.53239
08041003307,84516.53239
08041004009,78860.92947
08029965000,2040.4571
08041006502,81624.83673
08041003100,93901.63143
08041004602,30147.3141
08041006501,98535.17652
08041006400,98535.17652
08041005400,98535.17652
08041002900,93901.63143
08041005300,98535.17652
08041003000,93901.63143
08041002502,93901.63143
08041002501,93901.63143
08041002800,98535.17652
08041005201,98535.17652
08017960600,0
08041006301,98535.17652
08041006302,98535.17652
08041005202,98535.17652
08041002300,98535.17652
08015000402,0
08041004008,98535.17652
08041002102,98535.17652
08041002700,98535.17652
08041002200,98535.17652
08041006200,98535.17652
08041002400,98535.17652
08041006100,98535.17652
08041002101,98535.17652
08029964700,11920.18327
08041001500,98535.17652
08041001400,98535.17652
08015000401,0
08041001800,98535.17652
08041001700,98535.17652
08041001600,98535.17652
08041001900,98535.17652
08041006000,98535.17652
08041001301,98535.17652
08041005000,98535.17652
08041002000,98535.17652
08041000800,98535.17652
08041000900,98535.17652
08041000700,98535.17652
08041001302,98535.17652
08041006700,98535.17652
08041005900,98535.17652
08041005111,98535.17652
08041001000,98535.17652
08051963800,0.00006
08041005110,98535.17652
08041006600,98535.17652
08041000102,98535.17652
08029964600,2040.4571
08041000500,98535.17652
08041000600,98535.17652
08041001104,98535.17652
08041000400,98535.17652
08093000500,612880.3337
08041001101,98535.17652
08041005602,98535.17652
08041005700,98535.17652
08041005108,98535.17652
08041000301,98535.17652
08041005602,98535.17652
08041000101,98535.17652
08041007900,98535.17652
08041005502,98535.17652
08041000203,98535.17652
08041008000,98535.17652
08041000302,98535.17652
08041005601,98535.17652
08041005109,98535.17652
08041004601,27753.73287
08041000202,98535.17652
08041003400,98535.17652
08041007800,98535.17652
08041004901,98535.17652
08119010106,108002.0747
08041005501,98535.17652
08041005105,98535.17652
08041004800,98535.17652
08041003709,98535.17652
08029965200,11920.18327
08041003708,98535.17652
08041005107,98535.17652
08041004902,98535.17652
08041007700,97486.93259
08041005106,98535.17652
08041004703,98535.17652
08041004701,97486.93259
08041004705,98535.17652
08041003706,97357.46787
08041004702,97486.93259
08041005104,27447.40921
08041003707,92169.40815
08041004706,97486.93259
08041006801,92169.40815
08041003702,92169.40815
08041003905,92169.40815
08041003702,92169.40815
08041006902,91276.23443
08041006901,91276.23443
08041006802,90712.10443
08041003906,90712.10443
08041007101,90712.10443
08041007102,89823.85863
08041007000,89823.85863
08041007601,25350.29548
08041003801,90688.31756
08119010104,91252.29963
08119010105,108002.0747
08077001900,5190.678667
08041003902,25350.29548
08119010103,98195.09422
