STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
8,1,7801,3732,39.742087,-104.876782
8,1,7802,3758,39.741831,-104.854772
8,1,7900,5555,39.74764,-104.874142
8,1,8000,5742,39.748412,-104.856506
8,1,8100,854,39.747862,-104.836781
8,1,8200,5484,39.758587,-104.832799
8,1,8308,5557,39.747325,-104.818815
8,1,8309,3254,39.744478,-104.791524
8,1,8353,6044,39.761046,-104.756492
8,1,8401,4315,39.828529,-104.483619
8,1,8402,4352,39.784853,-104.303945
8,1,8505,6655,39.89264,-104.976904
8,1,8506,5383,39.907275,-104.983001
8,1,8507,6099,39.906952,-104.968894
8,1,8508,5342,39.907774,-104.949652
8,1,8523,7586,39.96089,-104.751456
8,1,8524,7814,39.937826,-104.931956
8,1,8526,6742,39.936872,-104.973095
8,1,8529,7446,39.919426,-104.954454
8,1,8533,7650,39.891207,-104.951991
8,1,8534,4283,39.893649,-104.931483
8,1,8535,3298,39.896126,-104.876823
8,1,8536,2443,39.908983,-104.805726
8,1,8537,6047,39.905036,-104.853104
8,1,8538,5305,39.88679,-104.791168
8,1,8539,8437,39.879528,-104.820525
8,1,8540,6408,39.938032,-104.911317
8,1,8541,4277,39.976281,-104.88168
8,1,8542,7036,39.987112,-104.755593
8,1,8543,6935,39.981568,-104.787099
8,1,8544,4181,39.948048,-104.949474
8,1,8545,6769,39.935084,-104.950924
8,1,8546,2912,39.924565,-104.932235
8,1,8547,3525,39.917592,-104.931391
8,1,8548,1499,39.924809,-104.916842
8,1,8549,3906,39.917657,-104.914517
8,1,8550,7987,39.906605,-104.928327
8,1,8551,571,39.916542,-104.898548
8,1,8603,2055,39.990845,-104.816736
8,1,8604,4923,39.992857,-104.80365
8,1,8605,3679,39.979942,-104.804403
8,1,8606,5931,39.979172,-104.823982
8,1,8705,4921,39.819,-104.919987
8,1,8706,5436,39.823758,-104.907004
8,1,8709,7656,39.806195,-104.913838
8,1,8801,4752,39.838668,-104.908364
8,1,8802,4075,39.845228,-104.917562
8,1,8901,2316,39.82198,-104.936138
8,1,9001,4645,39.853017,-104.96935
8,1,9002,9203,39.843383,-104.969221
8,1,9101,4112,39.862301,-104.959144
8,1,9103,3462,39.877162,-104.929731
8,1,9104,5200,39.865283,-104.940409
8,1,9202,4242,39.864435,-104.970152
8,1,9203,4222,39.863722,-104.982395
8,1,9204,6500,39.878059,-104.967707
8,1,9206,2021,39.880606,-104.949513
8,1,9207,4429,39.873161,-104.948511
8,1,9304,5400,39.873722,-104.996552
8,1,9306,3692,39.842978,-104.999151
8,1,9307,3774,39.841521,-104.988308
8,1,9308,4087,39.832842,-104.995747
8,1,9309,3613,39.842661,-105.020318
8,1,9310,5827,39.838875,-105.010711
8,1,9316,5751,39.867752,-105.011107
8,1,9318,5664,39.856113,-105.002074
8,1,9319,2605,39.861323,-105.015356
8,1,9320,2672,39.853122,-105.01547
8,1,9321,3782,39.877303,-105.019968
8,1,9322,4246,39.877657,-105.010762
8,1,9323,3728,39.899849,-104.993034
8,1,9325,5063,39.905961,-105.013442
8,1,9326,2554,39.892438,-105.019863
8,1,9327,4124,39.891759,-105.005819
8,1,9401,4903,39.848069,-105.03749
8,1,9406,4259,39.866813,-105.035982
8,1,9407,5227,39.859975,-105.035348
8,1,9408,4260,39.907363,-105.038796
8,1,9409,5248,39.892586,-105.036927
8,1,9410,3316,39.878701,-105.042793
8,1,9411,2959,39.877315,-105.029995
8,1,9501,3156,39.830161,-105.017362
8,1,9502,3633,39.821662,-105.015699
8,1,9553,2959,39.824663,-104.99949
8,1,9603,5921,39.843305,-105.047533
8,1,9604,4569,39.831673,-105.039649
8,1,9606,2794,39.817935,-105.029506
8,1,9607,4931,39.820459,-105.042774
8,1,9608,2849,39.812324,-105.048605
8,1,9751,3626,39.794849,-105.039766
8,1,9752,3061,39.796059,-105.01458
8,1,15000,2495,39.838133,-104.957492
8,1,60000,4747,39.964965,-104.969777
8,1,60100,6170,39.939254,-105.006879
8,1,60200,3681,39.920247,-104.995408
8,1,61200,1294,39.994569,-104.962511
8,1,988700,0,39.835312,-104.840933
8,3,960000,1775,37.596297,-105.8302
8,3,960100,2532,37.463158,-105.92105
8,3,960200,6342,37.476384,-105.874285
8,3,960300,4796,37.460514,-105.875412
8,5,4951,1883,39.697627,-104.93078
8,5,4952,2301,39.702222,-104.933536
8,5,5551,3224,39.662598,-105.018786
8,5,5552,2414,39.648831,-105.029361
8,5,5553,3594,39.632873,-105.027419
8,5,5611,4747,39.601003,-104.974686
8,5,5612,3616,39.616959,-104.976883
8,5,5614,3146,39.602525,-104.950701
8,5,5619,4574,39.618626,-105.03911
8,5,5620,2539,39.619811,-105.024771
8,5,5621,2899,39.598908,-105.048488
8,5,5622,2326,39.59093,-105.041471
8,5,5623,3547,39.589866,-105.017314
8,5,5624,2106,39.586705,-104.996849
8,5,5625,2899,39.588815,-104.981297
8,5,5626,3210,39.587715,-104.967484
8,5,5627,4271,39.587417,-104.950714
8,5,5628,5609,39.588227,-104.931397
8,5,5629,2215,39.573749,-104.929614
8,5,5630,5322,39.572886,-104.95141
8,5,5631,3028,39.573339,-104.967102
8,5,5632,3189,39.572806,-104.978175
8,5,5633,3002,39.577895,-105.001975
8,5,5634,2959,39.573556,-105.019066
8,5,5635,4789,39.602444,-104.931749
8,5,5636,1825,39.615998,-104.935337
8,5,5700,3593,39.65935,-104.99547
8,5,5800,2391,39.663721,-104.978764
8,5,5951,4032,39.655558,-104.978777
8,5,5952,3091,39.656154,-104.966435
8,5,6000,2693,39.647069,-104.992826
8,5,6100,2672,39.645433,-104.982628
8,5,6200,2864,39.637726,-104.995171
8,5,6300,2621,39.631698,-104.983062
8,5,6400,2975,39.628314,-104.995195
8,5,6501,1678,39.614834,-105.016402
8,5,6502,3171,39.608422,-105.010847
8,5,6601,5610,39.618673,-104.995986
8,5,6603,3210,39.596298,-104.996644
8,5,6604,3761,39.608692,-104.997417
8,5,6704,4239,39.639622,-104.935442
8,5,6705,1748,39.634329,-104.969825
8,5,6706,4720,39.588931,-104.912724
8,5,6707,4530,39.586809,-104.894582
